0	2015 12 19 01 36 00   2015 12 19 07 29 00
0	2015 12 20 01 37 00   2015 12 20 07 29 00
0	2015 12 21 01 38 00   2015 12 21 07 30 00
0	2015 12 22 01 38 00   2015 12 22 07 30 00
0	2015 12 23 01 39 00   2015 12 23 07 31 00
0	2015 12 24 01 39 00   2015 12 24 07 31 00
0	2015 12 25 01 40 00   2015 12 25 07 32 00
0	2015 12 26 01 40 00   2015 12 26 07 33 00
0	2015 12 27 01 40 00   2015 12 27 07 33 00
0	2015 12 28 01 40 00   2015 12 28 07 34 00
0	2015 12 29 01 41 00   2015 12 29 07 35 00
0	2015 12 30 01 41 00   2015 12 30 07 36 00
0	2015 12 31 01 41 00   2015 12 31 07 37 00
0	2016 01 01 01 41 00   2016 01 01 07 37 00
0	2016 01 02 01 41 00   2016 01 02 07 38 00
1	2016 01 03 01 41 00   2016 01 03 07 39 00
2	2016 01 04 01 41 00   2016 01 04 07 40 00
3	2016 01 05 01 41 00   2016 01 05 07 41 00
4	2016 01 06 01 41 00   2016 01 06 07 42 00
5	2016 01 07 01 40 00   2016 01 07 07 44 00
6	2016 01 08 01 40 00   2016 01 08 07 45 00
7	2016 01 09 01 40 00   2016 01 09 07 46 00
8	2016 01 10 01 39 00   2016 01 10 07 47 00
9	2016 01 11 01 39 00   2016 01 11 07 48 00
10	2016 01 12 01 39 00   2016 01 12 07 50 00
11	2016 01 13 01 38 00   2016 01 13 07 51 00
12	2016 01 14 01 38 00   2016 01 14 07 52 00
13	2016 01 15 01 37 00   2016 01 15 07 53 00
14	2016 01 16 01 36 00   2016 01 16 07 55 00
15	2016 01 17 01 36 00   2016 01 17 07 56 00
0	2016 01 18 01 35 00   2016 01 18 07 57 00
0	2016 01 19 01 34 00   2016 01 19 07 59 00
0	2016 01 20 01 34 00   2016 01 20 08 00 00
0	2016 01 21 01 33 00   2016 01 21 08 02 00
0	2016 01 22 01 32 00   2016 01 22 08 03 00
0	2016 01 23 01 31 00   2016 01 23 08 04 00
0	2016 01 24 01 30 00   2016 01 24 08 06 00
0	2016 01 25 01 29 00   2016 01 25 08 07 00
0	2016 01 26 01 28 00   2016 01 26 08 09 00
0	2016 01 27 01 27 00   2016 01 27 08 10 00
0	2016 01 28 01 26 00   2016 01 28 08 11 00
0	2016 01 29 01 25 00   2016 01 29 08 13 00
0	2016 01 30 01 24 00   2016 01 30 08 14 00
0	2016 01 31 01 23 00   2016 01 31 08 16 00
0	2016 02 01 01 22 00   2016 02 01 08 17 00
1	2016 02 02 01 21 00   2016 02 02 08 19 00
2	2016 02 03 01 20 00   2016 02 03 08 20 00
3	2016 02 04 01 19 00   2016 02 04 08 21 00
4	2016 02 05 01 17 00   2016 02 05 08 23 00
5	2016 02 06 01 16 00   2016 02 06 08 24 00
6	2016 02 07 01 15 00   2016 02 07 08 26 00
7	2016 02 08 01 14 00   2016 02 08 08 27 00
8	2016 02 09 01 12 00   2016 02 09 08 28 00
9	2016 02 10 01 11 00   2016 02 10 08 30 00
10	2016 02 11 01 10 00   2016 02 11 08 31 00
11	2016 02 12 01 08 00   2016 02 12 08 33 00
12	2016 02 13 01 07 00   2016 02 13 08 34 00
13	2016 02 14 01 06 00   2016 02 14 08 35 00
14	2016 02 15 01 04 00   2016 02 15 08 37 00
15	2016 02 16 01 03 00   2016 02 16 08 38 00
16	2016 02 17 01 01 00   2016 02 17 08 39 00
0	2016 02 18 01 00 00   2016 02 18 08 41 00
0	2016 02 19 00 58 00   2016 02 19 08 42 00
0	2016 02 20 00 57 00   2016 02 20 08 43 00
0	2016 02 21 00 56 00   2016 02 21 08 44 00
0	2016 02 22 00 54 00   2016 02 22 08 46 00
0	2016 02 23 00 53 00   2016 02 23 08 47 00
0	2016 02 24 00 51 00   2016 02 24 08 48 00
0	2016 02 25 00 50 00   2016 02 25 08 49 00
0	2016 02 26 00 48 00   2016 02 26 08 50 00
0	2016 02 27 00 47 00   2016 02 27 08 52 00
0	2016 02 28 00 45 00   2016 02 28 08 53 00
0	2016 02 29 00 44 00   2016 02 29 08 54 00
0	2016 03 01 00 42 00   2016 03 01 08 55 00
1	2016 03 02 00 41 00   2016 03 02 08 56 00
2	2016 03 03 00 39 00   2016 03 03 08 57 00
3	2016 03 04 00 37 00   2016 03 04 08 58 00
4	2016 03 05 00 36 00   2016 03 05 09 00 00
5	2016 03 06 00 34 00   2016 03 06 09 01 00
6	2016 03 07 00 33 00   2016 03 07 09 02 00
7	2016 03 08 00 31 00   2016 03 08 09 03 00
8	2016 03 09 00 30 00   2016 03 09 09 04 00
9	2016 03 10 00 28 00   2016 03 10 09 05 00
10	2016 03 11 00 27 00   2016 03 11 09 06 00
11	2016 03 12 00 25 00   2016 03 12 09 07 00
12	2016 03 13 00 24 00   2016 03 13 09 08 00
13	2016 03 14 00 22 00   2016 03 14 09 09 00
14	2016 03 15 00 21 00   2016 03 15 09 10 00
15	2016 03 16 00 19 00   2016 03 16 09 11 00
16	2016 03 17 00 18 00   2016 03 17 09 12 00
0	2016 03 18 00 16 00   2016 03 18 09 13 00
0	2016 03 19 00 14 00   2016 03 19 09 14 00
0	2016 03 20 00 13 00   2016 03 20 09 14 00
0	2016 03 21 00 11 00   2016 03 21 09 15 00
0	2016 03 22 00 10 00   2016 03 22 09 16 00
0	2016 03 23 00 08 00   2016 03 23 09 17 00
0	2016 03 24 00 07 00   2016 03 24 09 18 00
0	2016 03 25 00 06 00   2016 03 25 09 19 00
0	2016 03 26 00 04 00   2016 03 26 09 20 00
0	2016 03 27 00 03 00   2016 03 27 09 21 00
